L,rho,n_samples,mean,std,second_moment,fourth_moment,binder_cumulant
180,0.23005600,1000,2.2535467438e-01,8.3971004340e-04,5.0785433674e-02,2.5793034278e-03,0.66664816525649
180,0.23159200,1000,2.1991589575e-01,8.5786997161e-04,4.8363736407e-02,2.3391932458e-03,0.6666463954049067
180,0.23308700,1000,2.1460272822e-01,9.0215165006e-04,4.6055144025e-02,2.1212260689e-03,0.6666431286486737
180,0.23454100,1000,2.0931111180e-01,8.9287963092e-04,4.3811937958e-02,1.9196255283e-03,0.6666424204756098
180,0.23595500,1000,2.0407023268e-01,9.4596050722e-04,4.1645553813e-02,1.7345010800e-03,0.6666380435785992
180,0.23732900,1000,1.9895959774e-01,9.6741015777e-04,3.9585856478e-02,1.5671880234e-03,0.6666351868688356
180,0.23866200,1000,1.9387901337e-01,9.9404518561e-04,3.7590058965e-02,1.4131610487e-03,0.6666316314180629
180,0.23995500,1000,1.8880382939e-01,1.0820752010e-03,3.5648055708e-02,1.2709505642e-03,0.6666229434085742
180,0.24120800,1000,1.8377137500e-01,1.1134812835e-03,3.3773156870e-02,1.1407933658e-03,0.6666177926864578
180,0.24242000,1000,1.7883700189e-01,1.1648920761e-03,3.1984028860e-02,1.0231514267e-03,0.6666101895349589
180,0.24359100,1000,1.7391862740e-01,1.2453896402e-03,3.0249238401e-02,9.1520367773e-04,0.6665984515443446
180,0.24472300,1000,1.6891076989e-01,1.2992318289e-03,2.8532534500e-02,8.1429796769e-04,0.6665878715247031
180,0.24581300,1000,1.6402359688e-01,1.4461055089e-03,2.6905829463e-02,7.2414825164e-04,0.6665632521983723
180,0.24686400,1000,1.5913343913e-01,1.4164710032e-03,2.5325455833e-02,6.4158139646e-04,0.6665613293563544
180,0.24787400,1000,1.5425111780e-01,1.5200802567e-03,2.3795715675e-02,5.6645575680e-04,0.6665373494090931
180,0.24884400,1000,1.4922754921e-01,1.6302054489e-03,2.2271516356e-02,4.9625698480e-04,0.6665077054674359
180,0.24977300,1000,1.4445998251e-01,1.7434562058e-03,2.0871723147e-02,4.3588242462e-04,0.6664726195860016
180,0.25066200,1000,1.3931945405e-01,1.9671562701e-03,1.9413776110e-02,3.7719482553e-04,0.6664012320695327
180,0.25151000,1000,1.3431343844e-01,2.1561475328e-03,1.8044744070e-02,3.2594677010e-04,0.6663247661265093
180,0.25231800,1000,1.2912885545e-01,2.3819172328e-03,1.6679929167e-02,2.7859672115e-04,0.6662153642300122
180,0.25308600,1000,1.2425559019e-01,2.5269975417e-03,1.5445831025e-02,2.3896642279e-04,0.6661179518813215
180,0.25381300,1000,1.1890759105e-01,2.8991854794e-03,1.4147412080e-02,2.0062194502e-04,0.6658794601067799
180,0.25450000,1000,1.1370862894e-01,3.1210262816e-03,1.2939383361e-02,1.6792761691e-04,0.6656712612237492
180,0.25514700,1000,1.0855827846e-01,3.6070653112e-03,1.1797897732e-02,1.3979465632e-04,0.6652195710421158
180,0.25575300,1000,1.0306158368e-01,4.1539745231e-03,1.0638928279e-02,1.1391229810e-04,0.6645300711793822
180,0.25631800,1000,9.7304706790e-02,4.8411230167e-03,9.4916189991e-03,9.0956528335e-05,0.6634636137046336
180,0.25684400,1000,9.1764491084e-02,5.6699216279e-03,8.4528376871e-03,7.2464809814e-05,0.6619345078198177
180,0.25732800,1000,8.5933044925e-02,6.8182846106e-03,7.4309307260e-03,5.6426763467e-05,0.6593742619572531
180,0.25777300,1000,7.9869610082e-02,8.0263311112e-03,6.4435121838e-03,4.2955027433e-05,0.6551363361019112
180,0.25817700,1000,7.3882541667e-02,9.5217169148e-03,5.5492023930e-03,3.2494896666e-05,0.6482510775014876
180,0.25854000,1000,6.7988675240e-02,1.1618057758e-02,4.7573042477e-03,2.4666741886e-05,0.6366972539985625
180,0.25886400,1000,6.1222587963e-02,1.3039789729e-02,3.9180713569e-03,1.7446822018e-05,0.6211647404673384
180,0.25914600,1000,5.6606952675e-02,1.3298305687e-02,3.3810151804e-03,1.3380149573e-05,0.6098375477676327
180,0.25938900,1000,5.1429963134e-02,1.4296076803e-02,2.8492145421e-03,1.0026556433e-05,0.5883005913130057
180,0.25959100,1000,4.7120760974e-02,1.4166020602e-02,2.4208415783e-03,7.4932469668e-06,0.5737974417420433
180,0.25975300,1000,4.3714995370e-02,1.4517545227e-02,2.1215491805e-03,6.0426662111e-06,0.5524916504074734
180,0.25987400,1000,4.1513627401e-02,1.3885961230e-02,1.9160083593e-03,5.0166497257e-06,0.5444902001163814
180,0.25995500,1000,3.9596913409e-02,1.4348400746e-02,1.7735862789e-03,4.4550234966e-06,0.5279107581182505
180,0.25999500,1000,3.9094695302e-02,1.4146891819e-02,1.7283296143e-03,4.2416633213e-06,0.5266724360966281
180,0.26000500,1000,3.9743734396e-02,1.3964387191e-02,1.7743735293e-03,4.4264071913e-06,0.5313592943725952
180,0.26004500,1000,3.8810049897e-02,1.4126429306e-02,1.7055764219e-03,4.1104994730e-06,0.5289890812847309
180,0.26012600,1000,3.7379498800e-02,1.3853394427e-02,1.5889515511e-03,3.6517264832e-06,0.5178794139360576
180,0.26024700,1000,3.4976314472e-02,1.3304066347e-02,1.4001637572e-03,2.9066430612e-06,0.5057885707988483
180,0.26040900,1000,3.2000514746e-02,1.3052286548e-02,1.1942247660e-03,2.2081876162e-06,0.4838896499577088
