L,rho,mean_density,std_density
20,0.4291320,2.4861375000e-03,8.6290028021e-04
20,0.4328490,2.3567625000e-03,8.2523683334e-04
20,0.4366070,2.2628750000e-03,7.9980652934e-04
20,0.4404050,2.1357500000e-03,7.4353257326e-04
20,0.4442430,2.0577250000e-03,7.2909555229e-04
20,0.4481220,1.9609625000e-03,7.0125744994e-04
20,0.4520410,1.8719125000e-03,6.6683592798e-04
20,0.4560000,1.7974625000e-03,6.4056771585e-04
20,0.4600000,1.7097250000e-03,6.1164975629e-04
40,0.0600000,9.0007816563e-01,4.2096857078e-03
40,0.0640000,8.8824154531e-01,4.3880750578e-03
40,0.0679590,8.7606692031e-01,4.5771172277e-03
40,0.0718780,8.6361844844e-01,4.7947005884e-03
40,0.0757570,8.5087987344e-01,4.9205173330e-03
40,0.0795950,8.3801891719e-01,5.0744249142e-03
40,0.0833930,8.2491730469e-01,5.2538228117e-03
40,0.0871510,8.1190873594e-01,5.4095193643e-03
40,0.0908680,7.9862589375e-01,5.5213494490e-03
40,0.0945450,7.8533394219e-01,5.6757557465e-03
40,0.0981810,7.7212051719e-01,5.7388288304e-03
40,0.1017770,7.5882386563e-01,5.8546233585e-03
40,0.1053320,7.4565271875e-01,5.9119733497e-03
40,0.1088470,7.3253447812e-01,6.0972898316e-03
40,0.1123220,7.1932971094e-01,6.1495787338e-03
40,0.1157560,7.0632525000e-01,6.1830443503e-03
40,0.1191500,6.9340045000e-01,6.2594773029e-03
40,0.1225030,6.8072272969e-01,6.3081006295e-03
40,0.1258170,6.6812370937e-01,6.3418672579e-03
40,0.1290890,6.5548980156e-01,6.3958623191e-03
40,0.1323210,6.4306870625e-01,6.4962710652e-03
40,0.1355130,6.3099840469e-01,6.4721522242e-03
40,0.1386650,6.1889658750e-01,6.4754710702e-03
40,0.1417760,6.0710832344e-01,6.4861482472e-03
40,0.1448460,5.9544278906e-01,6.5703442352e-03
40,0.1478770,5.8375800938e-01,6.7021426881e-03
40,0.1508660,5.7226190000e-01,6.6838665905e-03
40,0.1538160,5.6103821250e-01,6.6190513284e-03
40,0.1567250,5.4982100313e-01,6.6221475073e-03
40,0.1595930,5.3886771250e-01,6.7356122100e-03
40,0.1624220,5.2784573281e-01,6.7118372977e-03
40,0.1652090,5.1745142813e-01,6.6482793828e-03
40,0.1679570,5.0665761719e-01,6.7318560117e-03
40,0.1706640,4.9622320469e-01,6.6864587576e-03
40,0.1733300,4.8628098750e-01,6.7531336208e-03
40,0.1759570,4.7630260625e-01,6.7089467154e-03
40,0.1785420,4.6668044063e-01,6.8854232434e-03
40,0.1810880,4.5711927188e-01,6.7911825157e-03
40,0.1835930,4.4781128281e-01,6.8497801885e-03
40,0.1860570,4.3882453750e-01,6.9764390611e-03
40,0.1884820,4.2991619063e-01,6.8787076872e-03
40,0.1908650,4.2133257969e-01,7.0643759161e-03
40,0.1932090,4.1286463437e-01,7.1506911833e-03
40,0.1955120,4.0474562031e-01,7.1073938334e-03
40,0.1977740,3.9684224375e-01,7.2116084484e-03
40,0.1999960,3.8916302813e-01,7.2636260795e-03
40,0.2021780,3.8164541406e-01,7.3875428291e-03
40,0.2043200,3.7429316094e-01,7.3869055023e-03
40,0.2064210,3.6708811250e-01,7.3405498783e-03
40,0.2084810,3.6013473750e-01,7.4252908262e-03
40,0.2105010,3.5334594375e-01,7.3628050308e-03
40,0.2124810,3.4662357969e-01,7.4857583311e-03
40,0.2144200,3.4019161250e-01,7.5109504584e-03
40,0.2163190,3.3382683594e-01,7.5363713800e-03
40,0.2181780,3.2777879375e-01,7.6548154920e-03
40,0.2199960,3.2163198594e-01,7.6541965805e-03
40,0.2217740,3.1567348750e-01,7.7226689657e-03
40,0.2235110,3.0983020469e-01,7.8661003777e-03
40,0.2252080,3.0409170156e-01,7.8858233118e-03
40,0.2268640,2.9855940937e-01,7.9426343611e-03
40,0.2284810,2.9305932500e-01,7.9291314816e-03
40,0.2300560,2.8786514219e-01,8.1746473677e-03
40,0.2315920,2.8263636250e-01,8.2508930622e-03
40,0.2330870,2.7745396094e-01,8.4555174358e-03
40,0.2345410,2.7254118281e-01,8.5525386569e-03
40,0.2359550,2.6741749375e-01,8.6649117339e-03
40,0.2373290,2.6266927187e-01,8.7891197477e-03
40,0.2386620,2.5785904375e-01,9.0936002397e-03
40,0.2399550,2.5327755938e-01,9.3524456952e-03
40,0.2412080,2.4859011875e-01,9.5130082248e-03
40,0.2424200,2.4399480625e-01,9.7744813555e-03
40,0.2435910,2.3964377344e-01,1.0053419074e-02
40,0.2447230,2.3528206875e-01,1.0212422540e-02
40,0.2458130,2.3106421719e-01,1.0713272749e-02
40,0.2468640,2.2680317031e-01,1.1081988276e-02
40,0.2478740,2.2296734844e-01,1.1281493681e-02
40,0.2488440,2.1879295156e-01,1.1992747386e-02
40,0.2497730,2.1472605781e-01,1.2431914567e-02
40,0.2506620,2.1096919531e-01,1.2847746910e-02
40,0.2515100,2.0723453750e-01,1.3370967993e-02
40,0.2523180,2.0353176406e-01,1.3909549786e-02
40,0.2530860,1.9972075781e-01,1.4426569007e-02
40,0.2538130,1.9608076563e-01,1.5213315687e-02
40,0.2545000,1.9305406719e-01,1.5895073482e-02
40,0.2551470,1.8961035469e-01,1.6619446167e-02
40,0.2557530,1.8694082031e-01,1.6949607849e-02
40,0.2563180,1.8318265625e-01,1.8101954876e-02
40,0.2568440,1.8062175938e-01,1.8657224905e-02
40,0.2573280,1.7774802812e-01,1.9397746780e-02
40,0.2577730,1.7555710937e-01,1.9722478395e-02
40,0.2581770,1.7295943906e-01,2.0806288536e-02
40,0.2585400,1.7086132812e-01,2.1577785396e-02
40,0.2588640,1.6917888281e-01,2.1483548820e-02
40,0.2591460,1.6719397188e-01,2.2366546497e-02
40,0.2593890,1.6580605312e-01,2.2869478267e-02
40,0.2595910,1.6415021094e-01,2.3457501418e-02
