L,rho,n_samples,mean,std,second_moment,fourth_moment,binder_cumulant
320,0.22848100,1000,2.2800213553e-01,3.6343248317e-04,5.1985105757e-02,2.7024786548e-03,0.6666632827932855
320,0.23005600,1000,2.2247924854e-01,3.8496615051e-04,4.9497164079e-02,2.4499985628e-03,0.66666267873856
320,0.23159200,1000,2.1709092453e-01,3.7895688648e-04,4.7128612978e-02,2.2211331987e-03,0.6666626090099872
320,0.23308700,1000,2.1180256488e-01,3.6400664650e-04,4.4860458858e-02,2.0124845230e-03,0.6666627321772728
320,0.23454100,1000,2.0655487137e-01,3.7387440195e-04,4.2665054528e-02,1.8203307094e-03,0.6666623026652585
320,0.23595500,1000,2.0139254138e-01,3.9973532030e-04,4.0559115353e-02,1.6450677385e-03,0.6666614185082235
320,0.23732900,1000,1.9629509225e-01,4.0254244864e-04,3.8531925122e-02,1.4847341987e-03,0.6666610662145545
320,0.23866200,1000,1.9128826831e-01,4.3230502842e-04,3.6591388294e-02,1.3389570191e-03,0.6666598647539563
320,0.23995500,1000,1.8626903497e-01,4.3619257311e-04,3.4696343464e-02,1.2038626307e-03,0.6666593619620897
320,0.24120800,1000,1.8133893451e-01,4.7074948767e-04,3.2884030552e-02,1.0813885944e-03,0.6666576875270784
320,0.24242000,1000,1.7646566357e-01,4.8438793964e-04,3.1140364818e-02,9.6975151410e-04,0.6666566317938201
320,0.24359100,1000,1.7155678305e-01,4.9022387606e-04,2.9431969890e-02,8.6626912256e-04,0.6666557878746412
320,0.24472300,1000,1.6677234161e-01,5.1563491524e-04,2.7813279541e-02,7.7360806956e-04,0.6666539333135957
320,0.24581300,1000,1.6195569470e-01,5.7852472190e-04,2.6229981403e-02,6.8804699443e-04,0.6666496756568074
320,0.24686400,1000,1.5715757394e-01,5.8609594001e-04,2.4698846213e-02,6.1006689997e-04,0.6666481454188979
320,0.24787400,1000,1.5235677689e-01,6.1212810990e-04,2.3212961789e-02,5.3887632576e-04,0.6666451818527339
320,0.24884400,1000,1.4755979297e-01,6.6047657938e-04,2.1774328294e-02,4.7415932013e-04,0.666639987513165
320,0.24977300,1000,1.4275195740e-01,7.0929757037e-04,2.0378623941e-02,4.1532927661e-04,0.6666337875911934
320,0.25066200,1000,1.3796290134e-01,8.0269319407e-04,1.9034405817e-02,3.6235762599e-04,0.6666215659080401
320,0.25151000,1000,1.3315140472e-01,8.2409127133e-04,1.7729975027e-02,3.1440011109e-04,0.666615665858117
320,0.25231800,1000,1.2832973459e-01,9.0729265346e-04,1.6469343136e-02,2.7129345046e-04,0.6666000746391303
320,0.25308600,1000,1.2349465378e-01,1.0284785492e-03,1.5251986222e-02,2.3268749930e-04,0.6665743634429365
320,0.25381300,1000,1.1860704730e-01,1.0657137293e-03,1.4068766280e-02,1.9799388743e-04,0.6665593850786633
320,0.25450000,1000,1.1374895459e-01,1.1712775476e-03,1.2940195189e-02,1.6751951551e-04,0.6665256006018134
320,0.25514700,1000,1.0875586984e-01,1.3279253714e-03,1.1829600848e-02,1.4002268443e-04,0.6664684185063934
320,0.25575300,1000,1.0377122705e-01,1.4834126329e-03,1.0770665876e-02,1.1610162363e-04,0.666395476099191
320,0.25631800,1000,9.8813244965e-02,1.6935435022e-03,9.7669226019e-03,9.5504277488e-05,0.6662770481549241
320,0.25684400,1000,9.3786091278e-02,1.9380401136e-03,8.7995831607e-03,7.7564639256e-05,0.6660985366845495
320,0.25732800,1000,8.8741256561e-02,2.1349731405e-03,7.8795641683e-03,6.2229872400e-05,0.6659024718004103
320,0.25777300,1000,8.3612516754e-02,2.4596420126e-03,6.9970967470e-03,4.9127051119e-05,0.6655249835598678
320,0.25817700,1000,7.8874397736e-02,2.9128162741e-03,6.2296466323e-03,3.9016955689e-05,0.6648761779805805
320,0.25854000,1000,7.3676234314e-02,3.3106927682e-03,5.4391372286e-03,2.9818571787e-05,0.6640260917912831
