L,rho,mean_density,second_moment_uncentered,forth_moment_uncentered
7000,0.24751928,1.5888599515e-01,2.8556577863e-02,1.1762226793e-03
7000,0.24752072,1.5762521555e-01,2.8056070443e-02,1.1328972397e-03
7000,0.24752652,1.5850838524e-01,2.8434818802e-02,1.1692983713e-03
7000,0.24753810,1.5561961115e-01,2.7444727237e-02,1.0943773486e-03
7000,0.24755547,1.5268499088e-01,2.6489995283e-02,1.0292955821e-03
7000,0.24757864,1.4958865636e-01,2.5499120317e-02,9.6652722697e-04
7000,0.24760760,1.4738351484e-01,2.4824745604e-02,9.2319582112e-04
7000,0.24764234,1.4217074506e-01,2.3181873514e-02,8.1760237563e-04
7000,0.24768288,1.3718720920e-01,2.1634365442e-02,7.1939788358e-04
7000,0.24772922,1.3229758265e-01,2.0272083154e-02,6.4980376698e-04
7000,0.24778134,1.2562429490e-01,1.8414286241e-02,5.4748936960e-04
7000,0.24783925,1.1894180278e-01,1.6533370721e-02,4.4998663260e-04
7000,0.24790296,1.1194032228e-01,1.4764345703e-02,3.7115104863e-04
7000,0.24797246,1.0612103428e-01,1.3339350569e-02,3.0917952430e-04
7000,0.24804774,9.8288100376e-02,1.1465269712e-02,2.3311001498e-04
7000,0.24812883,9.1494320394e-02,9.9819824669e-03,1.8010359187e-04
7000,0.24821570,8.4037429641e-02,8.4518400951e-03,1.3353541346e-04
7000,0.24830836,7.6701565684e-02,7.0871312268e-03,9.7353653002e-05
7000,0.24840681,7.0278263578e-02,5.9292912100e-03,6.8664922789e-05
7000,0.24851106,6.4055945622e-02,4.9101764582e-03,4.6968464177e-05
7000,0.24862110,5.7894343582e-02,4.0308848144e-03,3.2988791318e-05
7000,0.24873693,5.1985288759e-02,3.2375167646e-03,2.1187213640e-05
7000,0.24885855,4.7151184210e-02,2.6570756549e-03,1.4211345308e-05
7000,0.24898596,4.2090262331e-02,2.0945540871e-03,8.5425014634e-06
7000,0.24911916,3.8097731318e-02,1.7117376330e-03,5.7901768024e-06
7000,0.24925816,3.4184039624e-02,1.3766198497e-03,3.8168195703e-06
7000,0.24940294,3.0830560990e-02,1.1017898137e-03,2.3160754043e-06
7000,0.24955352,2.7458407633e-02,8.7247203076e-04,1.4292755679e-06
7000,0.24970989,2.4770424961e-02,7.0411590799e-04,9.0154825307e-07
7000,0.24987205,2.2250772741e-02,5.6622618517e-04,5.7598585649e-07
