sample_id, N_LCC, N_A_1_LCC, N_B_1_LCC, N_A_0_LCC, N_B_0_LCC, N_A_*_LCC, N_B_*_LCC
333, 1777359, 361401, 370196, 357312, 348790, 169830, 169830
334, 1778560, 361701, 373046, 359993, 348940, 167440, 167440
335, 1779735, 363227, 364156, 351379, 350511, 175231, 175231
336, 1779341, 371675, 361057, 348387, 359004, 169609, 169609
337, 1775744, 358601, 365537, 352286, 345796, 176762, 176762
338, 1780227, 373435, 356965, 344630, 360477, 172360, 172360
339, 1782159, 373150, 352144, 339631, 360458, 178388, 178388
340, 1780543, 367702, 359898, 347336, 354993, 175307, 175307
341, 1777193, 362985, 359963, 347253, 350226, 178383, 178383
342, 1773385, 379143, 351565, 338880, 365843, 168977, 168977
343, 1780225, 362588, 363177, 350210, 349950, 177150, 177150
344, 1776538, 375251, 354500, 341943, 362082, 171381, 171381
345, 1777721, 364430, 357685, 344928, 351956, 179361, 179361
346, 1778912, 369388, 353177, 340488, 356629, 179615, 179615
347, 1779341, 365121, 359135, 346384, 352363, 178169, 178169
348, 1777302, 358695, 365842, 352987, 346296, 176741, 176741
349, 1776553, 356148, 367908, 354835, 343514, 177074, 177074
350, 1776845, 373956, 356162, 343059, 360930, 171369, 171369
351, 1776964, 351155, 375763, 362802, 338512, 174366, 174366
352, 1777187, 368244, 360585, 348018, 355294, 172523, 172523
353, 1778594, 362025, 358501, 345800, 349146, 181561, 181561
354, 1784308, 375918, 354701, 342484, 362947, 174129, 174129
355, 1778104, 351678, 377077, 364145, 339000, 173102, 173102
356, 1777277, 346515, 381565, 368298, 333983, 173458, 173458
357, 1777115, 362995, 355848, 343152, 349834, 182643, 182643
358, 1777956, 371137, 358704, 345976, 358391, 171874, 171874
359, 1778235, 358601, 368968, 356130, 345760, 174388, 174388
360, 1782269, 364468, 362980, 350544, 351883, 176197, 176197
361, 1777358, 374857, 357573, 345001, 362045, 168941, 168941
362, 1780792, 354704, 369947, 357325, 341990, 178413, 178413
363, 1777309, 365552, 359069, 346476, 352772, 176720, 176720
364, 1772935, 373940, 356497, 343709, 360483, 169153, 169153
365, 1777997, 352753, 376769, 364260, 340115, 172050, 172050
366, 1777367, 367267, 360776, 348063, 354361, 173450, 173450
367, 1780507, 365957, 368790, 355848, 353438, 168237, 168237
368, 1776953, 341672, 380765, 367528, 329170, 178909, 178909
369, 1783226, 367281, 365619, 353110, 354712, 171252, 171252
370, 1773312, 372097, 356029, 343278, 359198, 171355, 171355
371, 1775931, 360797, 356977, 344232, 348071, 182927, 182927
372, 1782221, 375250, 350510, 338079, 362694, 177844, 177844
373, 1777691, 344007, 379297, 366168, 331627, 178296, 178296
374, 1779170, 368620, 366847, 354166, 355577, 166980, 166980
375, 1778084, 369203, 357044, 344157, 356166, 175757, 175757
376, 1779846, 375671, 354911, 342369, 362493, 172201, 172201
377, 1779326, 352511, 374200, 361367, 340038, 175605, 175605
378, 1776868, 366305, 358522, 345576, 353225, 176620, 176620
379, 1781470, 384959, 350300, 337794, 371881, 168268, 168268
380, 1780448, 362677, 363021, 350590, 350014, 177073, 177073
381, 1777377, 367881, 356057, 343068, 354971, 177700, 177700
382, 1781316, 360242, 366496, 353958, 347804, 176408, 176408
383, 1775208, 351044, 375269, 362207, 338416, 174136, 174136
384, 1778370, 360258, 367383, 354416, 347341, 174486, 174486
385, 1780149, 366038, 363109, 350327, 353033, 173821, 173821
386, 1778364, 371646, 355424, 342875, 358771, 174824, 174824
387, 1784239, 356181, 378277, 365274, 343957, 170275, 170275
388, 1778707, 355915, 376003, 363147, 343012, 170315, 170315
389, 1778292, 357693, 369131, 356377, 345343, 174874, 174874
390, 1780139, 367780, 366003, 353481, 355125, 168875, 168875
391, 1781782, 371218, 357908, 345687, 358707, 174131, 174131
392, 1780364, 368486, 352648, 340166, 355800, 181632, 181632
393, 1778133, 361944, 367031, 354287, 349309, 172781, 172781
394, 1779753, 373396, 364481, 351989, 360441, 164723, 164723
395, 1776090, 352468, 371449, 358641, 339630, 176951, 176951
