L,rho,E_1st,E_2nd,E_4th,abs_R_1st,R_1st,R_2nd,R_4th,bond_energy_1st,bond_energy_2nd,bond_energy_4th,bond_defect_1st,bond_defect_2nd,bond_defect_4th
3200,0.114,0.50117684,0.25117822,0.06309050,0.09406316,-0.07570880,0.01338125,0.00047373,-1.83086591,3.35207253,11.23642431,0.01412033,0.00019997,0.00000004
3200,0.115,0.50124416,0.25124571,0.06312441,0.09250069,-0.07816119,0.01262893,0.00040020,-1.82755047,3.33994307,11.15525108,0.01468095,0.00021607,0.00000005
3200,0.116,0.50131452,0.25131625,0.06315986,0.09220513,-0.08150715,0.01229705,0.00036167,-1.82423194,3.32782436,11.07444415,0.01523664,0.00023265,0.00000005
3200,0.117,0.50138773,0.25138965,0.06319676,0.09224074,-0.08424256,0.01205203,0.00033223,-1.82088418,3.31562124,10.99337153,0.01580045,0.00025012,0.00000006
3200,0.118,0.50146391,0.25146605,0.06323517,0.09333733,-0.08760161,0.01197575,0.00030841,-1.81752816,3.30341054,10.91254673,0.01636191,0.00026814,0.00000007
3200,0.119,0.50154328,0.25154566,0.06327522,0.09450387,-0.09059899,0.01195442,0.00029243,-1.81415529,3.29116125,10.83176649,0.01692591,0.00028689,0.00000008
3200,0.12,0.50162561,0.25162825,0.06331678,0.09603220,-0.09342473,0.01203810,0.00028166,-1.81075942,3.27885139,10.75088920,0.01749533,0.00030647,0.00000009
3200,0.121,0.50171101,0.25171394,0.06335991,0.09792293,-0.09635266,0.01218545,0.00027380,-1.80735659,3.26653947,10.67030146,0.01806232,0.00032660,0.00000011
3200,0.122,0.50179961,0.25180285,0.06340468,0.10018564,-0.09913801,0.01241750,0.00026990,-1.80393256,3.25417425,10.58967042,0.01863317,0.00034753,0.00000012
3200,0.123,0.50189135,0.25189493,0.06345105,0.10252119,-0.10194330,0.01268513,0.00026760,-1.80050553,3.24182163,10.50942675,0.01919990,0.00036895,0.00000014
3200,0.124,0.50198613,0.25199008,0.06349900,0.10490539,-0.10451376,0.01299275,0.00026709,-1.79706357,3.22943891,10.42929420,0.01976820,0.00039108,0.00000015
3200,0.125,0.50208412,0.25208846,0.06354859,0.10752717,-0.10734930,0.01338279,0.00027280,-1.79361700,3.21706332,10.34951416,0.02033262,0.00041370,0.00000017
3200,0.126,0.50218520,0.25218997,0.06359978,0.11006742,-0.10995307,0.01375945,0.00027627,-1.79015737,3.20466474,10.26989319,0.02089788,0.00043699,0.00000019
3200,0.127,0.50228950,0.25229474,0.06365264,0.11281717,-0.11276151,0.01422730,0.00028461,-1.78669857,3.19229306,10.19075137,0.02145676,0.00046065,0.00000021
3200,0.128,0.50239694,0.25240268,0.06370711,0.11514805,-0.11511594,0.01460376,0.00028865,-1.78322362,3.17988772,10.11170154,0.02201785,0.00048503,0.00000024
3200,0.129,0.50250758,0.25251387,0.06376325,0.11792413,-0.11791744,0.01511933,0.00029959,-1.77975500,3.16752901,10.03325480,0.02256984,0.00050963,0.00000026
3200,0.13,0.50262139,0.25262826,0.06382104,0.12060097,-0.12059689,0.01565366,0.00031184,-1.77627979,3.15517103,9.95511840,0.02311965,0.00053474,0.00000029
3600,0.08,0.50017343,0.25017346,0.06258676,0.99435071,-0.01001758,0.98875685,0.97773312,-1.92102097,3.69034024,13.61888664,0.00227413,0.00000982,0.00000000
3600,0.081,0.50018266,0.25018270,0.06259138,0.99393430,-0.01155700,0.98795080,0.97620368,-1.91908359,3.68290235,13.56407193,0.00238767,0.00001082,0.00000000
3600,0.082,0.50019238,0.25019242,0.06259625,0.99348506,-0.01283282,0.98707421,0.97452471,-1.91711815,3.67536451,13.50863546,0.00250702,0.00001190,0.00000000
